pcode_2,district,governorate,low_functionality_signal,sustained_cholera_pressure,strong_negative_signal,num_signals
YE2305,Sanhan wa Bani Bahlul,Sana'a,True,True,True,3
YE1412,Radman,Al Bayda,True,False,True,2
YE1417,Sabah,Al Bayda,True,False,True,2
YE1608,Al Ghayl,Al Jawf,True,False,True,2
YE1602,Al Humaydat,Al Jawf,True,False,True,2
YE2915,Amran,Amran,True,True,False,2
YE1728,Hajjah City,Hajjah,True,True,False,2
YE1107,Al Makhadir,Ibb,True,True,False,2
YE1116,Dhi As Sufal,Ibb,True,True,False,2
YE1120,Ibb,Ibb,True,True,False,2
YE1102,Yarim,Ibb,True,True,False,2
YE2308,Al Haymah Ad Dakhiliyah,Sana'a,True,True,False,2
YE2309,Al Haymah Al Kharijiyah,Sana'a,True,True,False,2
YE2313,At Tyal,Sana'a,True,True,False,2
YE2314,Bani Dabyan,Sana'a,True,False,True,2
YE2304,Bani Hushaysh,Sana'a,True,True,False,2
YE2301,Hamdan,Sana'a,True,True,False,2
YE2312,Khawlan,Sana'a,True,True,False,2
YE1209,Ahwar,Abyan,True,False,False,1
YE1201,Al Mahfad,Abyan,True,False,False,1
YE1208,Al Wadi',Abyan,True,False,False,1
YE1203,Jayshan,Abyan,True,False,False,1
YE1211,Khanfar,Abyan,True,False,False,1
YE1204,Lawdar,Abyan,True,False,False,1
YE1202,Mudiyah,Abyan,True,False,False,1
YE1206,Rassd,Abyan,True,False,False,1
YE1207,Sarar,Abyan,True,False,False,1
YE1205,Sibah,Abyan,True,False,False,1
YE1210,Zinjibar,Abyan,True,False,False,1
YE2403,Al Mansurah,Aden,True,False,False,1
YE2402,Ash Shaykh Othman,Aden,True,False,False,1
YE2405,At Tawahi,Aden,True,False,False,1
YE2408,Khur Maksar,Aden,True,False,False,1
YE2407,Kritar - Sirah,Aden,True,False,False,1
YE1416,Al Arsh,Al Bayda,True,False,False,1
YE1410,Al Bayda,Al Bayda,True,False,False,1
YE1409,Al Bayda City,Al Bayda,True,False,False,1
YE1420,Al Malajim,Al Bayda,True,False,False,1
YE1414,Al Quraishyah,Al Bayda,True,False,False,1
YE1418,Ar Ryashyyah,Al Bayda,True,False,False,1
YE1407,At Taffah,Al Bayda,True,False,False,1
YE1405,Az Zahir,Al Bayda,True,False,False,1
YE1403,Maswarah,Al Bayda,True,False,False,1
YE1402,Nati',Al Bayda,True,False,False,1
YE1401,Nu'man,Al Bayda,True,False,False,1
YE1415,Wald Rabi',Al Bayda,True,False,False,1
YE1609,Al Khalaq,Al Jawf,True,False,False,1
YE1607,Al Maslub,Al Jawf,True,False,False,1
YE1603,Al Matammah,Al Jawf,True,False,False,1
