pcode_2,month,district,governorate,pcode_1,gid_1,gid_2,unocha_operational_hub,percent_functioning_health_centres,percent_attack_rate,percent_individuals_health_facilities_problems,num_suspected_cases_cholera,num_deaths_cholera,num_health_workers,was_duplicated
YE1101,2019-01-01,Al Qafr,Ibb,YE11,YEM.14_1,YEM.14.4_1,Ibb,0.835,6.956284525676874,0.175456203,102.0,,5.7,False
YE1101,2019-02-01,Al Qafr,Ibb,YE11,YEM.14_1,YEM.14.4_1,Ibb,0.866,7.570074337,0.175456203,111.0,1.0,5.7,False
YE1101,2019-03-01,Al Qafr,Ibb,YE11,YEM.14_1,YEM.14.4_1,Ibb,0.866,18.550092068471663,0.175456203,272.0,5.0,5.7,False
YE1101,2019-04-01,Al Qafr,Ibb,YE11,YEM.14_1,YEM.14.4_1,Ibb,0.866,31.917070176635068,0.175456203,468.0,6.0,5.7,False
YE1101,2019-05-01,Al Qafr,Ibb,YE11,YEM.14_1,YEM.14.4_1,Ibb,0.866,21.209847916524584,0.175456203,311.0,1.0,5.7,False
YE1101,2019-06-01,Al Qafr,Ibb,YE11,YEM.14_1,YEM.14.4_1,Ibb,0.866,19.23208074745959,0.175456203,282.0,,5.7,False
YE1101,2019-07-01,Al Qafr,Ibb,YE11,YEM.14_1,YEM.14.4_1,Ibb,0.866,4.910318488713087,0.175456203,72.0,2.0,5.7,False
YE1101,2019-08-01,Al Qafr,Ibb,YE11,YEM.14_1,YEM.14.4_1,Ibb,0.866,20.73245584123304,0.175456203,304.0,2.0,5.7,False
YE1101,2019-09-01,Al Qafr,Ibb,YE11,YEM.14_1,YEM.14.4_1,Ibb,0.866,23.937802632476306,0.175456203,351.0,,5.7,False
YE1101,2019-10-01,Al Qafr,Ibb,YE11,YEM.14_1,YEM.14.4_1,Ibb,0.866,16.640523767305464,0.175456203,244.0,1.0,5.7,False
YE1101,2019-11-01,Al Qafr,Ibb,YE11,YEM.14_1,YEM.14.4_1,Ibb,0.866,17.254313578394598,0.175456203,253.0,1.0,5.7,False
YE1101,2019-12-01,Al Qafr,Ibb,YE11,YEM.14_1,YEM.14.4_1,Ibb,0.866,23.937802632476306,0.175456203,351.0,,5.7,False
YE1101,2020-01-01,Al Qafr,Ibb,YE11,YEM.14_1,YEM.14.4_1,Ibb,,,,148.0,,,False
YE1101,2020-02-01,Al Qafr,Ibb,YE11,YEM.14_1,YEM.14.4_1,Ibb,,,,66.0,,,False
YE1101,2020-03-01,Al Qafr,Ibb,YE11,YEM.14_1,YEM.14.4_1,Ibb,,,,71.0,,,False
YE1101,2020-04-01,Al Qafr,Ibb,YE11,YEM.14_1,YEM.14.4_1,Ibb,,,,88.0,,,False
YE1101,2020-05-01,Al Qafr,Ibb,YE11,YEM.14_1,YEM.14.4_1,Ibb,,,,4.0,,,False
YE1101,2020-06-01,Al Qafr,Ibb,YE11,YEM.14_1,YEM.14.4_1,Ibb,,,,2.0,3.0,,False
YE1101,2020-07-01,Al Qafr,Ibb,YE11,YEM.14_1,YEM.14.4_1,Ibb,,,,35.0,3.0,,False
YE1101,2020-08-01,Al Qafr,Ibb,YE11,YEM.14_1,YEM.14.4_1,Ibb,,,,19.0,,,False
YE1101,2020-09-01,Al Qafr,Ibb,YE11,YEM.14_1,YEM.14.4_1,Ibb,,,,11.0,,,False
YE1101,2020-10-01,Al Qafr,Ibb,YE11,YEM.14_1,YEM.14.4_1,Ibb,,,,10.0,,,False
YE1101,2020-11-01,Al Qafr,Ibb,YE11,YEM.14_1,YEM.14.4_1,Ibb,,,,5.0,,,False
YE1101,2020-12-01,Al Qafr,Ibb,YE11,YEM.14_1,YEM.14.4_1,Ibb,,,,3.0,,,False
YE1101,2021-02-01,Al Qafr,Ibb,YE11,YEM.14_1,YEM.14.4_1,Ibb,,,,10.0,,,False
YE1101,2021-03-01,Al Qafr,Ibb,YE11,YEM.14_1,YEM.14.4_1,Ibb,,,,1.0,,,False
YE1101,2021-05-01,Al Qafr,Ibb,YE11,YEM.14_1,YEM.14.4_1,Ibb,,,,1.0,,,False
YE1102,2019-01-01,Yarim,Ibb,YE11,YEM.14_1,YEM.14.20_1,Ibb,0.852,9.686897070714348,0.2177804988335475,242.0,3.0,5.7,False
YE1102,2019-02-01,Yarim,Ibb,YE11,YEM.14_1,YEM.14.20_1,Ibb,0.866,5.724075541785751,0.2177804988335475,143.0,3.0,5.7,False
YE1102,2019-03-01,Yarim,Ibb,YE11,YEM.14_1,YEM.14.20_1,Ibb,0.866,20.53462064990273,0.2177804988335475,513.0,5.0,5.7,False
YE1102,2019-04-01,Yarim,Ibb,YE11,YEM.14_1,YEM.14.20_1,Ibb,0.866,22.01567516071443,0.2177804988335475,550.0,3.0,5.7,False
YE1102,2019-05-01,Yarim,Ibb,YE11,YEM.14_1,YEM.14.20_1,Ibb,0.866,18.813395137337785,0.2177804988335475,470.0,1.0,5.7,False
YE1102,2019-06-01,Yarim,Ibb,YE11,YEM.14_1,YEM.14.20_1,Ibb,0.866,20.094307146688443,0.2177804988335475,502.0,,5.7,False
YE1102,2019-07-01,Yarim,Ibb,YE11,YEM.14_1,YEM.14.20_1,Ibb,0.866,27.41952270016252,0.2177804988335475,685.0,,5.7,False
YE1102,2019-08-01,Yarim,Ibb,YE11,YEM.14_1,YEM.14.20_1,Ibb,0.866,21.8555611595456,0.2177804988335475,546.0,1.0,5.7,False
YE1102,2019-09-01,Yarim,Ibb,YE11,YEM.14_1,YEM.14.20_1,Ibb,0.866,26.53889569373394,0.2177804988335475,663.0,4.0,5.7,False
YE1102,2019-10-01,Yarim,Ibb,YE11,YEM.14_1,YEM.14.20_1,Ibb,0.866,21.77550415896118,0.2177804988335475,544.0,1.0,5.7,False
YE1102,2019-11-01,Yarim,Ibb,YE11,YEM.14_1,YEM.14.20_1,Ibb,0.866,18.29302463353908,0.2177804988335475,457.0,1.0,5.7,False
YE1102,2019-12-01,Yarim,Ibb,YE11,YEM.14_1,YEM.14.20_1,Ibb,0.866,26.53889569373394,0.2177804988335475,663.0,4.0,5.7,False
YE1102,2020-01-01,Yarim,Ibb,YE11,YEM.14_1,YEM.14.20_1,Ibb,,,,334.0,,,False
YE1102,2020-02-01,Yarim,Ibb,YE11,YEM.14_1,YEM.14.20_1,Ibb,,,,264.0,1.0,,False
YE1102,2020-03-01,Yarim,Ibb,YE11,YEM.14_1,YEM.14.20_1,Ibb,,,,204.0,1.0,,False
YE1102,2020-04-01,Yarim,Ibb,YE11,YEM.14_1,YEM.14.20_1,Ibb,,,,189.0,,,False
YE1102,2020-05-01,Yarim,Ibb,YE11,YEM.14_1,YEM.14.20_1,Ibb,,,,100.0,,,False
YE1102,2020-06-01,Yarim,Ibb,YE11,YEM.14_1,YEM.14.20_1,Ibb,,,,90.0,3.0,,False
YE1102,2020-07-01,Yarim,Ibb,YE11,YEM.14_1,YEM.14.20_1,Ibb,,,,96.0,3.0,,False
YE1102,2020-08-01,Yarim,Ibb,YE11,YEM.14_1,YEM.14.20_1,Ibb,,,,119.0,,,False
YE1102,2020-09-01,Yarim,Ibb,YE11,YEM.14_1,YEM.14.20_1,Ibb,,,,154.0,,,False
YE1102,2020-10-01,Yarim,Ibb,YE11,YEM.14_1,YEM.14.20_1,Ibb,,,,125.0,1.0,,False
YE1102,2020-11-01,Yarim,Ibb,YE11,YEM.14_1,YEM.14.20_1,Ibb,,,,128.0,,,False
